designation phot_g_mean_mag phot_bp_mean_mag phot_rp_mean_mag ra dec Sector_17_x Sector_17_y Sector_18_x Sector_18_y Sector_24_x Sector_24_y
"Gaia DR2 2015658800900441216" 14.575099 15.6274376 13.5490875 351.5131758819739 61.62446601405594 11.697468970516539 -1.4658975499475453 7.9914977931776345 -2.412051957894124 9.951955729689562 -2.1480442288972874
"Gaia DR2 2015669525443785856" 14.5996542 14.9990444 14.0212164 351.37709572641387 61.6443355842367 5.524653614471411 8.88840949893276 6.468725069990409 9.633221577178698 5.966218070824703 8.701408246064343
"Gaia DR2 2015657121578283136" 14.6116829 15.026516 14.0094538 351.3476732901035 61.601453275941076 -1.22615037393164 4.899920311477388 -1.85511905289599 8.32875233711566 -1.369174342395592 6.150303732608107
"Gaia DR2 2015669113126936192" 14.6857424 15.1261921 14.0620832 351.3019052833942 61.61739242960957 -2.2345726238299513 9.609929555426055 -0.791316624088191 13.150460244045082 -1.4335640751380634 10.764600438011655
"Gaia DR2 2015668872608783872" 14.6904354 16.2527618 13.4511871 351.35367801002013 61.618031087856615 1.0508807377223048 6.746727209261096 1.170569125089104 9.242907117030377 1.2025198611661665 7.482942853125223
"Gaia DR2 2015669491084038528" 14.7073727 16.0599365 13.5525627 351.4901772806386 61.68088257471879 16.73228208572838 7.301926757987488 16.718631818726024 4.038201586093408 16.548853725171 5.208824602904285
"Gaia DR2 2015657460870597760" 14.7133093 14.9896612 13.8061266 351.41971432309475 61.6134355199278 4.623843419376573 2.38368468739485 2.760894806975215 3.8122251238194167 3.8264479775707176 2.7379177117641307
"Gaia DR2 2015669521138961920" 14.784544 15.1374092 14.2377729 351.37659133380726 61.654019064452896 6.60519502105357 10.195960306861805 8.0920251751687 10.474687793595196 7.270400401326178 9.739739762779958
"Gaia DR2 2015670246998217216" 14.8405581 16.4811687 13.5772123 351.34140979656996 61.694743426978725 9.102844742959963 17.57126420141821 13.73710001677321 16.535355654753012 11.131125890019423 16.238072035107905
"Gaia DR2 2015669422364592128" 14.8534746 15.2859583 14.2433081 351.47391981149286 61.653874474728575 12.627889883866771 4.651432944753272 11.55977460365719 3.0318489035443763 12.045197160327433 3.445436269145919
"Gaia DR2 2015669147486931968" 14.8690147 15.281312 14.2785883 351.3573003806316 61.64167180434222 3.990972092757346 9.66195761661714 5.308070145762054 10.924974813261706 4.626226526374555 9.703236068393721
"Gaia DR2 2015669697242460544" 14.8770113 16.0143013 13.8016386 351.4597913325008 61.67873149833054 14.60057640605335 8.73958518811529 15.263029947878316 6.176367342007117 14.756823382296346 6.9425674825305945
"Gaia DR2 2015669491084045056" 14.901967 15.5585546 13.4430494 351.4793480317026 61.67278807000709 15.132650302532618 6.844997988716178 14.958535817240255 4.190651682785486 14.905591299417974 5.063929462911904
"Gaia DR2 2015657396456210560" 15.0297289 15.4895792 14.3943319 351.49829035685576 61.62338181379904 10.647710981477807 -0.7646145047138191 7.271777191550775 -1.3654395044988368 9.06817006383013 -1.3005629146450932
